order_id,order_date,region,product_name,units_sold,unit_price,cost,revenue,_processed_at,_row_id
1,2025-02-02,Northeast,Widget B,4,363.16,72.77,1452.64,2026-06-19 00:44:43.088580,1
2,2025-10-10,Northeast,Widget B,25,358.51,25.05,8962.75,2026-06-19 00:44:43.088580,2
3,2025-08-27,West,Gadget X,28,109.32,63.9,3060.96,2026-06-19 00:44:43.088580,3
4,2025-06-10,West,Gadget Y,36,27.96,162.31,1006.56,2026-06-19 00:44:43.088580,4
5,2025-06-08,West,Widget B,29,158.86,101.23,4606.9400000000005,2026-06-19 00:44:43.088580,5
6,2025-11-10,Southwest,Gadget Y,10,87.0,38.46,870.0,2026-06-19 00:44:43.088580,6
7,2025-02-01,Midwest,Gadget Y,18,203.94,65.96,3670.92,2026-06-19 00:44:43.088580,7
8,2025-09-12,Southwest,Widget A,22,489.88,190.95,10777.36,2026-06-19 00:44:43.088580,8
9,2025-03-15,West,Tool Z,49,98.72,89.23,4837.28,2026-06-19 00:44:43.088580,9
10,2025-02-04,Southeast,Widget A,27,166.25,91.11,4488.75,2026-06-19 00:44:43.088580,10
11,2025-07-12,Southwest,Gadget Y,32,365.31,34.85,11689.92,2026-06-19 00:44:43.088580,11
12,2025-12-23,Northeast,Gadget X,37,259.5,64.39,9601.5,2026-06-19 00:44:43.088580,12
13,2025-09-26,Midwest,Gadget Y,18,31.52,163.86,567.36,2026-06-19 00:44:43.088580,13
14,2025-10-05,Southwest,Gadget Y,48,89.23,158.31,4283.04,2026-06-19 00:44:43.088580,14
15,2025-09-19,West,Gadget Y,34,468.27,89.92,15921.18,2026-06-19 00:44:43.088580,15
16,2025-10-14,Southwest,Gadget Y,42,60.55,179.26,2543.1,2026-06-19 00:44:43.088580,16
17,2025-07-07,Northeast,Tool Z,37,321.2,79.15,11884.4,2026-06-19 00:44:43.088580,17
18,2025-02-16,Midwest,Gadget Y,31,398.24,173.54,12345.44,2026-06-19 00:44:43.088580,18
19,2025-11-03,West,Tool Z,2,140.07,11.16,280.14,2026-06-19 00:44:43.088580,19
20,2025-06-14,West,Gadget X,29,365.29,72.71,10593.41,2026-06-19 00:44:43.088580,20
21,2025-07-02,Southwest,Widget B,7,93.25,171.74,652.75,2026-06-19 00:44:43.088580,21
22,2025-05-16,Midwest,Widget B,30,149.53,180.76,4485.9,2026-06-19 00:44:43.088580,22
23,2025-03-08,West,Gadget Y,35,162.79,152.5,5697.65,2026-06-19 00:44:43.088580,23
24,2025-12-05,Midwest,Gadget X,27,498.25,135.62,13452.75,2026-06-19 00:44:43.088580,24
25,2025-10-13,Southwest,Widget A,16,115.14,164.02,1842.24,2026-06-19 00:44:43.088580,25
