order_id,order_date,region,product_name,units_sold,unit_price,cost,revenue
1,2025-02-02,Northeast,Widget B,4,363.16,72.77,1452.64
2,2025-10-10,Northeast,Widget B,25,358.51,25.05,8962.75
3,2025-08-27,West,Gadget X,28,109.32,63.9,3060.96
4,2025-06-10,West,Gadget Y,36,27.96,162.31,1006.5600000000001
5,2025-06-08,West,Widget B,29,158.86,101.23,4606.9400000000005
6,2025-11-10,Southwest,Gadget Y,10,87.0,38.46,870.0
7,2025-02-01,Midwest,Gadget Y,18,203.94,65.96,3670.92
8,2025-09-12,Southwest,Widget A,22,489.88,190.95,10777.36
9,2025-03-15,West,Tool Z,49,98.72,89.23,4837.28
10,2025-02-04,Southeast,Widget A,27,166.25,91.11,4488.75
11,2025-07-12,Southwest,Gadget Y,32,365.31,34.85,11689.92
12,2025-12-23,Northeast,Gadget X,37,259.5,64.39,9601.5
13,2025-09-26,Midwest,Gadget Y,18,31.52,163.86,567.36
14,2025-10-05,Southwest,Gadget Y,48,89.23,158.31,4283.04
15,2025-09-19,West,Gadget Y,34,468.27,89.92,15921.18
16,2025-10-14,Southwest,Gadget Y,42,60.55,179.26,2543.1
17,2025-07-07,Northeast,Tool Z,37,321.2,79.15,11884.4
18,2025-02-16,Midwest,Gadget Y,31,398.24,173.54,12345.44
19,2025-11-03,West,Tool Z,2,140.07,11.16,280.14
20,2025-06-14,West,Gadget X,29,365.29,72.71,10593.41
21,2025-07-02,Southwest,Widget B,7,93.25,171.74,652.75
22,2025-05-16,Midwest,Widget B,30,149.53,180.76,4485.9
23,2025-03-08,West,Gadget Y,35,162.79,152.5,5697.65
24,2025-12-05,Midwest,Gadget X,27,498.25,135.62,13452.75
25,2025-10-13,Southwest,Widget A,16,115.14,164.02,1842.24
26,2025-08-24,Northeast,Widget B,3,73.31,142.97,219.93
27,2025-05-27,Southeast,Tool Z,33,463.59,54.57,15298.47
28,2025-10-28,Northeast,Gadget Y,35,89.35,95.92,3127.25
29,2025-07-19,West,Gadget Y,24,440.85,133.84,10580.400000000001
30,2025-06-11,Southeast,Widget A,36,328.72,119.62,11833.920000000002
31,2025-06-14,Southeast,Widget A,39,292.66,177.59,11413.740000000002
32,2025-03-24,Southwest,Widget B,26,378.16,97.4,9832.16
33,2025-02-03,Southeast,Tool Z,3,365.74,39.71,1097.22
34,2025-07-22,Northeast,Gadget X,43,64.16,46.84,2758.8799999999997
35,2025-11-21,Northeast,Gadget Y,23,499.74,169.98,11494.02
36,2025-01-24,Southeast,Gadget X,33,471.53,6.7,15560.49
37,2025-11-10,Southwest,Gadget X,45,449.33,174.48,20219.85
38,2025-10-30,Midwest,Gadget Y,18,314.92,15.84,5668.56
39,2025-04-12,Southwest,Tool Z,31,266.17,81.37,8251.27
40,2025-08-19,Southeast,Gadget X,1,272.78,161.03,272.78
41,2025-03-02,Southeast,Gadget X,44,17.32,84.48,762.08
42,2025-10-04,Northeast,Tool Z,3,254.74,165.36,764.22
43,2025-09-13,Southeast,Widget B,27,315.65,24.56,8522.55
44,2025-05-10,Midwest,Tool Z,18,332.77,104.75,5989.86
45,2025-01-25,Southwest,Gadget X,2,172.75,118.58,345.5
46,2025-12-21,Southeast,Tool Z,23,240.93,178.72,5541.39
47,2025-06-12,West,Gadget X,46,321.79,23.26,14802.34
48,2025-11-22,West,Gadget Y,9,219.87,71.03,1978.83
49,2025-09-05,Southeast,Widget B,15,481.45,133.57,7221.75
50,2025-10-12,Southwest,Gadget Y,10,355.67,196.09,3556.7000000000003
51,2025-10-05,Midwest,Widget B,7,10.62,170.41,74.33999999999999
52,2025-03-13,Northeast,Gadget Y,12,21.41,170.07,256.92
53,2025-05-13,Southwest,Gadget Y,29,348.25,105.85,10099.25
54,2025-06-20,Southwest,Gadget X,39,212.2,115.04,8275.8
55,2025-07-01,Northeast,Gadget X,34,421.34,172.42,14325.56
56,2025-01-16,Southwest,Widget B,38,94.78,174.58,3601.64
57,2025-07-19,Southwest,Gadget Y,36,16.78,161.44,604.08
58,2025-02-26,Southwest,Gadget X,19,200.16,164.62,3803.04
59,2025-09-29,Southeast,Gadget X,45,370.67,176.53,16680.15
60,2025-09-07,West,Widget A,9,486.15,27.19,4375.349999999999
61,2025-12-03,Midwest,Widget A,35,442.99,62.06,15504.65
62,2025-09-29,West,Widget A,6,247.2,195.34,1483.1999999999998
63,2025-05-14,West,Tool Z,38,408.28,111.23,15514.64
64,2025-12-20,West,Tool Z,5,44.46,39.41,222.3
65,2025-05-30,Midwest,Widget A,11,290.41,103.1,3194.51
66,2025-04-29,West,Widget A,20,462.91,130.93,9258.2
67,2025-11-27,Midwest,Gadget Y,35,204.23,166.5,7148.049999999999
68,2025-05-16,Northeast,Gadget X,3,480.45,163.37,1441.35
69,2025-01-28,Northeast,Widget B,13,118.14,14.6,1535.82
70,2025-06-21,Southwest,Gadget Y,17,61.76,93.44,1049.92
71,2025-10-18,Southwest,Widget B,36,267.13,9.01,9616.68
72,2025-03-11,Midwest,Widget A,48,454.55,178.19,21818.4
73,2025-06-18,Northeast,Widget B,31,162.53,38.91,5038.43
74,2025-02-17,West,Tool Z,25,402.08,126.85,10052.0
75,2025-09-08,Northeast,Gadget Y,17,92.91,116.27,1579.47
76,2025-06-23,Southeast,Widget A,41,375.33,126.98,15388.529999999999
77,2025-05-01,Southeast,Gadget X,6,282.94,114.87,1697.6399999999999
78,2025-03-24,Northeast,Tool Z,7,95.76,144.54,670.32
79,2025-07-26,Southwest,Tool Z,10,361.86,127.09,3618.6000000000004
80,2025-09-02,Midwest,Gadget Y,14,359.74,22.61,5036.360000000001
81,2025-12-10,Southeast,Widget A,23,262.56,76.52,6038.88
82,2025-06-09,Midwest,Widget B,47,120.48,111.59,5662.56
83,2025-02-28,Northeast,Widget B,32,74.82,68.41,2394.24
84,2025-10-31,Midwest,Widget A,19,479.05,153.26,9101.95
85,2025-08-18,Midwest,Widget A,11,331.35,66.99,3644.8500000000004
86,2025-09-13,Southeast,Widget B,32,406.53,166.59,13008.96
87,2025-02-05,Southwest,Gadget X,13,351.52,33.61,4569.76
88,2025-04-25,Southeast,Widget B,48,416.44,155.03,19989.12
89,2025-10-08,Northeast,Gadget X,24,89.62,40.78,2150.88
90,2025-10-31,Midwest,Widget B,27,253.51,107.96,6844.7699999999995
91,2025-06-08,Southwest,Widget A,45,336.89,67.5,15160.05
92,2025-10-21,Southeast,Tool Z,15,60.66,129.28,909.9
93,2025-11-04,Northeast,Gadget X,24,83.48,46.48,2003.52
94,2025-05-22,Southwest,Widget B,27,320.65,160.1,8657.55
95,2025-11-24,Midwest,Tool Z,14,435.67,116.85,6099.38
96,2025-04-16,Northeast,Tool Z,3,333.6,191.67,1000.8000000000001
97,2025-03-29,West,Tool Z,14,27.74,143.8,388.35999999999996
98,2025-09-07,Southeast,Widget A,6,485.51,123.44,2913.06
99,2025-08-21,Southwest,Gadget Y,34,78.36,166.69,2664.24
100,2025-02-21,Southeast,Tool Z,1,123.96,47.84,123.96
101,2025-10-31,Midwest,Tool Z,16,487.73,128.38,7803.68
102,2025-03-14,Midwest,Widget B,44,387.81,81.13,17063.64
103,2025-10-21,Southeast,Tool Z,28,468.92,150.04,13129.76
104,2025-01-03,Midwest,Gadget X,33,405.24,9.77,13372.92
105,2025-10-18,Northeast,Gadget X,33,329.35,88.4,10868.550000000001
106,2025-10-15,West,Gadget X,15,149.43,132.08,2241.4500000000003
107,2025-10-12,West,Gadget Y,31,170.17,94.82,5275.2699999999995
108,2025-08-31,Southwest,Widget A,11,474.16,51.4,5215.76
109,2025-06-22,Southeast,Gadget X,32,431.71,95.55,13814.72
110,2025-09-15,Southeast,Tool Z,34,186.15,170.7,6329.1
111,2025-04-12,Midwest,Gadget X,43,192.9,45.33,8294.7
112,2025-10-12,West,Widget B,46,155.87,76.6,7170.02
113,2025-07-22,Southwest,Widget A,2,169.8,198.12,339.6
114,2025-06-17,Northeast,Gadget X,15,431.73,183.0,6475.950000000001
115,2025-07-04,Southeast,Gadget Y,27,15.15,11.62,409.05
116,2025-07-27,Southeast,Gadget X,16,223.67,108.41,3578.72
117,2025-01-14,Southeast,Tool Z,31,471.99,17.76,14631.69
118,2025-02-21,Midwest,Gadget Y,42,275.89,185.16,11587.38
119,2025-03-31,Southwest,Gadget X,13,230.72,91.1,2999.36
120,2025-02-11,Northeast,Widget A,44,163.06,86.6,7174.64
121,2025-06-10,Southwest,Gadget X,44,46.22,58.22,2033.6799999999998
122,2025-09-01,West,Widget A,45,120.0,115.92,5400.0
123,2025-08-27,West,Gadget Y,4,54.32,33.27,217.28
124,2025-06-21,West,Widget A,15,72.08,160.8,1081.2
125,2025-11-09,Northeast,Tool Z,7,90.12,100.79,630.84
126,2025-07-26,West,Widget B,6,157.99,115.46,947.94
127,2025-01-29,Southeast,Gadget X,3,15.4,168.96,46.2
128,2025-10-07,Midwest,Widget A,22,475.57,41.1,10462.539999999999
129,2025-07-29,West,Widget B,5,70.67,39.16,353.35
130,2025-08-20,West,Tool Z,15,197.74,87.06,2966.1000000000004
131,2025-07-26,Southeast,Widget B,49,440.97,158.3,21607.530000000002
132,2025-07-22,Southeast,Gadget X,44,62.22,16.42,2737.68
